orderid,customerid,orderplaceddatetime,ordercompletiondatetime,orderstatus
1,1,1979-01-28 14:15:26,1979-01-28 14:15:26,Cancelled
2,5,1997-04-14 04:39:07,1997-04-14 04:39:07,InProgress
3,5,2020-02-23 14:34:32,2020-02-23 14:34:32,Completed
4,6,2008-03-28 08:01:17,2008-03-28 08:01:17,InProgress
5,3,1977-01-16 17:40:26,1977-01-16 17:40:26,InProgress
6,10,1982-08-25 21:04:18,1982-08-25 21:04:18,InProgress
7,4,2010-09-14 12:41:16,2010-09-14 12:41:16,Completed
8,9,1994-03-25 17:20:31,1994-03-25 17:20:31,Cancelled
9,5,2017-07-17 23:00:42,2017-07-17 23:00:42,Cancelled
10,8,1982-09-24 00:30:45,1982-09-24 00:30:45,InProgress
11,3,1978-04-23 09:58:59,1978-04-23 09:58:59,Cancelled
12,2,1990-02-23 15:22:33,1990-02-23 15:22:33,Completed
13,9,2021-06-06 03:49:58,2021-06-06 03:49:58,InProgress
14,9,1978-04-17 04:59:18,1978-04-17 04:59:18,InProgress
15,7,1990-02-20 03:56:20,1990-02-20 03:56:20,Cancelled
16,9,1998-01-01 21:28:37,1998-01-01 21:28:37,InProgress
17,8,1991-08-24 16:02:55,1991-08-24 16:02:55,Completed
18,4,2005-02-23 11:37:13,2005-02-23 11:37:13,InProgress
19,8,2008-09-22 20:30:52,2008-09-22 20:30:52,InProgress
20,5,1982-05-12 07:25:41,1982-05-12 07:25:41,Completed
21,6,2010-01-07 14:21:50,2010-01-07 14:21:50,Completed
22,4,1987-08-28 06:24:52,1987-08-28 06:24:52,Cancelled
23,8,1978-04-04 16:27:04,1978-04-04 16:27:04,Cancelled
24,4,1972-08-04 23:07:55,1972-08-04 23:07:55,Completed
25,2,2010-04-16 14:30:17,2010-04-16 14:30:17,Completed
26,1,1972-04-20 19:43:23,1972-04-20 19:43:23,InProgress
27,8,2019-01-16 14:46:09,2019-01-16 14:46:09,Completed
28,5,2003-01-24 10:27:45,2003-01-24 10:27:45,Cancelled
29,4,2007-08-02 17:12:49,2007-08-02 17:12:49,Cancelled
30,4,1996-04-02 12:58:22,1996-04-02 12:58:22,Cancelled
31,6,2002-01-14 06:35:19,2002-01-14 06:35:19,Cancelled
32,1,1981-01-24 01:41:52,1981-01-24 01:41:52,InProgress
33,7,2017-06-16 12:18:22,2017-06-16 12:18:22,InProgress
34,7,2004-03-19 15:22:59,2004-03-19 15:22:59,Cancelled
35,6,2004-04-27 05:29:56,2004-04-27 05:29:56,Cancelled
36,9,2003-04-09 01:40:35,2003-04-09 01:40:35,InProgress
37,2,1972-12-03 14:06:18,1972-12-03 14:06:18,Cancelled
38,5,1983-09-27 15:11:25,1983-09-27 15:11:25,InProgress
39,3,2014-06-18 00:50:41,2014-06-18 00:50:41,Cancelled
40,3,1998-04-12 23:00:24,1998-04-12 23:00:24,InProgress
41,8,1991-11-26 03:38:57,1991-11-26 03:38:57,InProgress
42,5,1974-03-06 04:31:20,1974-03-06 04:31:20,Cancelled
43,7,2015-09-01 17:35:44,2015-09-01 17:35:44,Completed
44,2,2011-01-09 08:33:04,2011-01-09 08:33:04,Completed
45,1,1999-05-05 14:43:30,1999-05-05 14:43:30,InProgress
46,1,2012-10-05 16:59:36,2012-10-05 16:59:36,Cancelled
47,7,1990-04-26 05:09:16,1990-04-26 05:09:16,Cancelled
48,7,2020-05-20 13:22:40,2020-05-20 13:22:40,Completed
49,9,2009-07-28 13:21:19,2009-07-28 13:21:19,Completed
50,1,2001-06-26 12:21:00,2001-06-26 12:21:00,Completed
51,7,1992-09-12 14:20:22,1992-09-12 14:20:22,Cancelled
52,2,1983-12-08 02:48:15,1983-12-08 02:48:15,Completed
53,10,1999-12-14 17:10:48,1999-12-14 17:10:48,Completed
54,2,1997-03-27 06:36:43,1997-03-27 06:36:43,Cancelled
55,10,2014-08-29 22:01:20,2014-08-29 22:01:20,InProgress
56,9,1977-04-19 05:30:21,1977-04-19 05:30:21,Completed
57,1,1975-05-23 06:19:44,1975-05-23 06:19:44,Cancelled
58,5,1995-08-19 07:27:58,1995-08-19 07:27:58,Completed
59,1,2001-04-25 00:13:07,2001-04-25 00:13:07,InProgress
60,4,2001-06-13 20:23:25,2001-06-13 20:23:25,InProgress
61,9,1983-01-21 20:39:50,1983-01-21 20:39:50,Cancelled
62,5,2010-07-29 17:11:32,2010-07-29 17:11:32,Completed
63,10,2005-04-15 07:07:10,2005-04-15 07:07:10,InProgress
64,6,1993-07-09 03:21:50,1993-07-09 03:21:50,Cancelled
65,2,2005-11-22 23:28:42,2005-11-22 23:28:42,Completed
66,2,1991-06-27 23:04:14,1991-06-27 23:04:14,InProgress
67,8,1981-07-10 05:15:51,1981-07-10 05:15:51,Completed
68,7,1987-09-20 19:21:33,1987-09-20 19:21:33,Cancelled
69,1,1979-08-12 19:52:54,1979-08-12 19:52:54,InProgress
70,5,2009-06-16 01:28:09,2009-06-16 01:28:09,Completed
71,10,2000-09-19 17:59:04,2000-09-19 17:59:04,Cancelled
72,7,1982-06-23 21:45:19,1982-06-23 21:45:19,InProgress
73,8,1981-01-11 22:21:39,1981-01-11 22:21:39,Completed
74,9,2016-03-23 09:12:54,2016-03-23 09:12:54,Cancelled
75,3,1992-11-05 14:02:10,1992-11-05 14:02:10,Cancelled
76,10,1986-05-22 06:51:01,1986-05-22 06:51:01,Cancelled
77,6,1984-01-21 16:55:52,1984-01-21 16:55:52,Cancelled
78,8,1990-12-13 03:49:36,1990-12-13 03:49:36,InProgress
79,8,2018-11-28 20:46:12,2018-11-28 20:46:12,Cancelled
80,5,1985-10-11 17:24:29,1985-10-11 17:24:29,Completed
81,8,1994-03-17 12:57:33,1994-03-17 12:57:33,InProgress
82,8,2006-06-21 15:07:05,2006-06-21 15:07:05,Completed
83,2,1986-06-07 06:46:44,1986-06-07 06:46:44,InProgress
84,6,1999-02-22 13:47:01,1999-02-22 13:47:01,Cancelled
85,7,1991-12-05 11:51:42,1991-12-05 11:51:42,Cancelled
86,10,1983-12-08 07:58:14,1983-12-08 07:58:14,Completed
87,6,1986-07-26 09:26:25,1986-07-26 09:26:25,Cancelled
88,9,2013-10-01 20:24:23,2013-10-01 20:24:23,Cancelled
89,7,1993-06-12 11:50:08,1993-06-12 11:50:08,InProgress
90,9,1976-09-25 15:09:15,1976-09-25 15:09:15,InProgress
91,3,2012-12-11 00:12:07,2012-12-11 00:12:07,InProgress
92,6,1980-12-14 16:11:53,1980-12-14 16:11:53,InProgress
93,2,1974-11-16 00:25:55,1974-11-16 00:25:55,Cancelled
94,8,1987-02-20 22:55:23,1987-02-20 22:55:23,Completed
95,3,2020-08-02 19:34:44,2020-08-02 19:34:44,Cancelled
96,1,1974-03-04 17:01:09,1974-03-04 17:01:09,InProgress
97,9,1995-03-12 16:42:02,1995-03-12 16:42:02,Completed
98,7,1975-08-13 06:41:37,1975-08-13 06:41:37,InProgress
99,4,2021-07-16 10:09:56,2021-07-16 10:09:56,Cancelled
100,3,1999-11-29 22:41:55,1999-11-29 22:41:55,InProgress
101,2,1974-08-17 04:32:22,1974-08-17 04:32:22,InProgress
102,5,1988-04-01 14:36:27,1988-04-01 14:36:27,Cancelled
103,2,1980-03-01 00:48:00,1980-03-01 00:48:00,Completed
104,10,2004-12-27 05:01:11,2004-12-27 05:01:11,Cancelled
105,7,2020-01-04 10:21:02,2020-01-04 10:21:02,InProgress
106,6,2000-03-20 19:07:00,2000-03-20 19:07:00,Completed
107,5,2001-02-04 20:19:05,2001-02-04 20:19:05,InProgress
108,9,1986-05-07 17:21:48,1986-05-07 17:21:48,Completed
109,6,2010-02-18 21:17:52,2010-02-18 21:17:52,Completed
110,9,2000-10-15 21:47:38,2000-10-15 21:47:38,InProgress
111,3,1976-12-20 16:10:44,1976-12-20 16:10:44,InProgress
112,7,1996-04-29 20:25:27,1996-04-29 20:25:27,InProgress
113,2,1984-12-17 17:43:18,1984-12-17 17:43:18,Completed
114,9,1983-05-30 20:18:39,1983-05-30 20:18:39,Cancelled
115,8,1994-11-11 16:25:09,1994-11-11 16:25:09,Cancelled
116,5,2002-05-29 13:41:32,2002-05-29 13:41:32,Cancelled
117,7,2005-12-23 17:47:40,2005-12-23 17:47:40,Cancelled
118,2,2009-12-15 01:09:22,2009-12-15 01:09:22,InProgress
119,6,1981-08-08 13:27:48,1981-08-08 13:27:48,Completed
120,10,1994-10-28 08:51:19,1994-10-28 08:51:19,Cancelled
121,2,2016-05-01 16:44:42,2016-05-01 16:44:42,Cancelled
122,7,1983-11-26 08:42:17,1983-11-26 08:42:17,Completed
123,3,2012-05-10 03:38:53,2012-05-10 03:38:53,Cancelled
124,1,1980-05-08 08:37:27,1980-05-08 08:37:27,Completed
125,1,1973-03-13 18:22:17,1973-03-13 18:22:17,Completed
126,4,1970-06-29 11:54:42,1970-06-29 11:54:42,InProgress
127,5,1980-04-18 02:21:13,1980-04-18 02:21:13,InProgress
128,7,2021-08-03 12:48:26,2021-08-03 12:48:26,Completed
129,4,1995-04-17 10:33:48,1995-04-17 10:33:48,Cancelled
130,6,1978-07-25 20:18:41,1978-07-25 20:18:41,Completed
131,4,2003-11-25 19:59:17,2003-11-25 19:59:17,InProgress
132,8,1978-03-27 05:11:43,1978-03-27 05:11:43,InProgress
133,9,2000-07-18 20:09:03,2000-07-18 20:09:03,Cancelled
134,10,1979-03-28 11:21:47,1979-03-28 11:21:47,Completed
135,1,2019-10-14 00:25:30,2019-10-14 00:25:30,Completed
136,9,2018-04-12 02:16:21,2018-04-12 02:16:21,Cancelled
