orderid,productid,quantity
1,100,63
2,80,97
3,19,86
4,47,90
5,29,25
6,26,13
7,27,77
8,95,81
9,1,16
10,65,59
11,21,37
12,16,79
13,32,21
14,63,58
15,29,3
16,9,64
17,38,71
18,28,84
19,19,36
20,20,21
21,43,50
22,74,7
23,47,90
24,61,70
25,75,6
26,42,38
27,37,71
28,38,66
29,94,19
30,47,79
31,25,35
32,85,36
33,92,77
34,99,47
35,63,37
36,14,71
37,47,20
38,9,36
39,12,84
40,73,50
41,99,85
42,90,73
43,75,77
44,100,83
45,18,61
46,30,31
47,86,44
48,33,95
49,67,9
50,36,9
51,45,49
52,68,43
53,27,48
54,59,62
55,42,76
56,23,3
57,88,96
58,71,21
59,33,93
60,32,17
61,68,47
62,33,56
63,71,40
64,40,90
65,68,50
66,36,15
67,40,88
68,33,80
69,56,87
70,77,28
71,68,30
72,58,85
73,81,63
74,1,90
75,47,33
76,37,64
77,36,37
78,82,49
79,23,92
80,69,25
81,24,61
82,33,27
83,8,94
84,29,81
85,59,86
86,30,29
87,19,10
88,51,39
89,78,17
90,75,82
91,4,78
92,43,6
93,59,63
94,95,84
95,83,95
96,20,46
97,5,43
98,39,72
99,87,70
100,34,20
101,31,26
102,39,25
103,23,97
104,83,56
105,70,4
106,61,26
107,44,29
108,34,32
109,35,70
110,68,47
111,55,64
112,45,100
113,98,33
114,81,61
115,40,2
116,56,46
117,74,73
118,31,19
119,58,43
120,30,15
121,54,90
122,5,91
123,55,7
124,74,45
125,43,26
126,65,33
127,65,39
128,67,74
129,36,76
130,92,80
131,21,79
132,3,63
133,74,79
134,4,97
135,11,37
136,38,63
137,53,84
138,84,61
139,44,54
140,32,21
141,17,68
142,76,1
143,48,98
144,77,66
145,72,64
146,23,97
147,37,51
148,51,13
149,26,18
150,21,53
151,61,63
152,95,65
153,49,85
154,63,42
155,10,31
156,13,65
157,12,55
158,88,63
159,32,39
160,76,20
161,82,34
162,4,64
163,50,10
164,58,13
165,75,63
166,8,87
167,64,39
168,91,95
169,41,90
170,69,55
171,11,63
172,12,77
173,70,97
174,64,57
175,100,61
176,37,78
177,35,82
178,37,49
179,32,91
180,65,31
181,35,75
182,19,7
183,38,75
184,81,88
185,100,20
186,8,6
187,93,56
188,13,58
189,31,19
190,5,48
191,29,90
192,22,7
193,41,19
194,6,43
195,46,65
196,94,36
197,1,52
198,24,64
199,51,54
200,28,25
201,52,35
202,61,18
203,33,55
204,49,53
205,66,78
206,46,73
207,61,96
208,49,77
209,52,5
210,6,79
211,6,86
212,83,50
213,30,72
214,45,6
215,89,69
216,91,58
217,8,85
218,38,61
219,18,42
220,45,56
221,42,31
222,49,15
223,1,81
224,14,38
225,13,88
226,96,16
227,32,76
228,76,40
229,17,93
230,9,87
231,26,34
232,95,80
233,2,10
234,99,80
235,43,67
236,26,7
237,96,65
238,47,57
239,41,83
240,9,34
241,19,15
242,83,14
243,65,16
244,46,28
245,28,56
246,58,94
247,93,31
248,67,59
249,72,62
250,3,1
251,56,81
252,91,76
253,2,62
254,69,14
255,31,86
256,23,97
257,32,38
258,49,23
259,64,35
260,64,35
261,6,52
262,47,73
263,61,62
264,42,15
265,14,88
266,69,16
267,76,43
268,92,77
269,79,47
270,92,6
271,61,68
272,45,58
273,63,61
274,52,35
275,95,40
276,31,7
277,52,8
278,48,48
279,32,16
280,80,45
281,90,95
282,44,37
283,15,55
284,50,39
285,20,78
286,37,98
287,33,31
288,76,84
289,73,62
290,30,67
291,95,27
292,47,23
293,30,64
294,13,17
295,45,37
296,94,61
297,17,63
298,29,72
299,68,23
300,55,75
301,99,9
302,33,2
303,62,31
304,83,54
305,87,88
306,45,49
307,45,93
308,72,18
309,6,13
310,81,9
311,10,45
312,98,35
313,67,30
314,31,44
315,53,70
316,57,6
317,72,2
318,4,10
319,66,23
320,55,54
321,80,8
322,78,70
323,76,80
324,39,77
325,92,24
326,52,32
327,59,7
328,7,96
329,13,61
330,8,44
331,25,58
332,6,94
333,42,65
334,30,19
335,92,80
336,12,29
337,89,97
338,40,49
339,30,28
340,99,35
341,4,70
342,21,87
343,83,71
344,1,22
345,81,4
346,11,59
347,93,93
348,85,84
349,21,63
350,11,38
351,88,91
352,35,59
353,60,31
354,62,88
355,71,86
356,28,57
357,19,21
358,22,73
359,58,7
360,18,92
361,13,68
362,21,20
363,68,61
364,95,7
365,9,97
366,25,38
367,5,29
368,15,6
369,46,31
370,80,47
371,69,52
372,82,10
373,64,23
374,30,39
375,33,66
376,94,21
377,13,7
378,45,34
379,93,82
380,11,17
381,6,97
382,37,3
383,21,33
384,77,45
385,86,76
386,14,79
387,1,68
388,86,26
389,63,48
390,38,12
391,40,42
392,42,25
393,86,30
394,28,20
395,14,97
396,32,83
397,52,73
398,62,26
399,96,92
400,69,3
401,45,49
402,23,60
403,85,62
404,89,80
405,82,97
406,24,100
407,85,27
408,26,67
409,12,57
410,18,9
411,93,73
412,58,99
413,86,28
414,29,96
415,91,51
416,60,35
417,47,55
418,37,50
419,75,52
420,15,66
421,3,54
422,46,61
423,27,31
424,79,9
425,60,86
426,62,80
427,16,47
428,41,99
429,4,14
430,59,14
431,70,24
432,18,97
433,80,87
434,62,68
435,39,15
436,78,19
437,59,56
438,34,49
439,97,70
440,6,45
441,52,44
442,57,11
443,10,55
444,88,6
445,58,36
446,55,60
447,8,10
448,60,48
449,55,97
450,53,82
451,23,2
452,66,25
453,56,99
454,100,73
455,63,73
456,55,99
457,87,79
458,58,60
459,5,74
460,42,22
461,62,13
462,52,76
463,35,72
464,47,1
465,27,11
466,77,28
467,60,75
468,40,69
469,57,95
470,29,65
471,13,59
472,99,9
473,81,13
474,14,26
475,9,26
476,28,54
477,40,5
478,26,97
479,93,7
480,7,30
481,78,1
482,84,2
483,41,5
484,26,64
485,71,40
486,38,25
487,100,12
488,50,47
489,14,15
490,20,20
491,13,15
492,78,43
493,15,43
494,79,94
495,31,4
496,80,9
497,98,58
498,37,33
499,80,74
500,32,14
501,85,96
502,48,59
503,32,16
504,18,31
505,95,85
506,56,87
507,39,86
508,80,92
509,96,41
510,70,85
511,34,6
512,77,1
513,85,100
514,94,46
515,82,73
516,12,15
517,18,24
518,97,98
519,17,65
520,59,75
521,50,15
522,58,73
523,72,4
524,54,89
525,79,18
526,1,71
527,59,96
528,20,48
529,35,68
530,36,14
531,44,31
532,9,19
533,60,12
534,97,29
535,29,15
536,2,32
537,4,6
538,93,13
539,53,36
